ID,Strain
mouse:1,C57L/J
mouse:2,LP/J
mouse:3,C3H/HeJ
mouse:4,AKR/J
mouse:5,C57BL/6J
mouse:6,AKR/J
mouse:7,MRL/MpJ
mouse:8,A/J
mouse:9,A/J
mouse:10,PWD/PhJ
mouse:11,FVB/NJ
mouse:12,BUB/BnJ
mouse:13,C57BLKS/J
mouse:14,129S1/SvImJ
mouse:15,KK/HlJ
mouse:16,KK/HlJ
mouse:17,KK/HlJ
mouse:18,KK/HlJ
mouse:19,KK/HlJ
mouse:20,A/J
mouse:21,A/J
mouse:22,A/J
mouse:23,RIIIS/J
mouse:24,SJL/J
mouse:25,RIIIS/J
mouse:26,SJL/J
mouse:27,RIIIS/J
mouse:28,RIIIS/J
mouse:29,RIIIS/J
mouse:30,RIIIS/J
mouse:31,RIIIS/J
mouse:32,C57BLKS/J
mouse:33,A/J
mouse:34,A/J
mouse:35,129S1/SvImJ
mouse:36,129S1/SvImJ
mouse:37,129S1/SvImJ
mouse:38,129S1/SvImJ
mouse:39,129S1/SvImJ
mouse:40,129S1/SvImJ
mouse:41,129S1/SvImJ
mouse:42,129S1/SvImJ
mouse:43,129S1/SvImJ
mouse:44,KK/HlJ
mouse:45,KK/HlJ
mouse:46,C57BR/cdJ
mouse:47,C57BR/cdJ
mouse:48,C57BR/cdJ
mouse:49,C57BR/cdJ
mouse:50,C57BR/cdJ
mouse:51,LP/J
mouse:52,LP/J
mouse:53,LP/J
mouse:54,LP/J
mouse:55,PWD/PhJ
mouse:56,PWD/PhJ
mouse:57,PWD/PhJ
mouse:58,MRL/MpJ
mouse:59,A/J
mouse:60,MRL/MpJ
mouse:61,P/J
mouse:62,SWR/J
mouse:63,SWR/J
mouse:64,SWR/J
mouse:65,SWR/J
mouse:66,SWR/J
mouse:67,SWR/J
mouse:68,SWR/J
mouse:69,A/J
mouse:70,A/J
mouse:71,A/J
mouse:72,A/J
mouse:73,A/J
mouse:74,A/J
mouse:75,A/J
mouse:76,A/J
mouse:77,A/J
mouse:78,A/J
mouse:79,A/J
mouse:80,A/J
mouse:81,NON/ShiLtJ
mouse:82,NON/ShiLtJ
mouse:83,NON/ShiLtJ
mouse:84,NON/ShiLtJ
mouse:85,NON/ShiLtJ
mouse:86,A/J
mouse:87,A/J
mouse:88,A/J
mouse:89,A/J
mouse:90,A/J
mouse:91,A/J
mouse:92,A/J
mouse:93,A/J
mouse:94,A/J
mouse:95,A/J
mouse:96,SWR/J
mouse:97,SWR/J
mouse:98,SWR/J
mouse:99,SWR/J
mouse:100,SWR/J
mouse:101,PWD/PhJ
mouse:102,PWD/PhJ
mouse:103,PWD/PhJ
mouse:104,PWD/PhJ
mouse:105,PWD/PhJ
mouse:106,SWR/J
mouse:107,WSB/EiJ
mouse:108,LP/J
mouse:109,P/J
mouse:110,MRL/MpJ
mouse:111,SJL/J
mouse:112,FVB/NJ
mouse:113,FVB/NJ
mouse:114,FVB/NJ
mouse:115,FVB/NJ
mouse:116,FVB/NJ
mouse:117,CBA/J
mouse:118,CBA/J
mouse:119,CBA/J
mouse:120,CBA/J
mouse:121,CBA/J
mouse:122,BALB/cByJ
mouse:123,BALB/cByJ
mouse:124,BALB/cByJ
mouse:125,BALB/cByJ
mouse:126,BALB/cByJ
mouse:127,BALB/cByJ
mouse:128,BALB/cByJ
mouse:129,BALB/cByJ
mouse:130,BALB/cByJ
mouse:131,BALB/cByJ
mouse:132,FVB/NJ
mouse:133,FVB/NJ
mouse:134,FVB/NJ
mouse:135,FVB/NJ
mouse:136,FVB/NJ
mouse:137,FVB/NJ
mouse:138,FVB/NJ
mouse:139,FVB/NJ
mouse:140,FVB/NJ
mouse:141,FVB/NJ
mouse:142,BALB/cByJ
mouse:143,BALB/cByJ
mouse:144,BALB/cByJ
mouse:145,BALB/cByJ
mouse:146,CBA/J
mouse:147,CBA/J
mouse:148,CBA/J
mouse:149,CBA/J
mouse:150,CBA/J
mouse:151,MRL/MpJ
mouse:152,C57BLKS/J
mouse:153,MRL/MpJ
